Serial No,Quantity,Unit Price (USD),Date Ordered,Hospital Name,State,Equipment,Supplier,Supplier Country
8060,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
8061,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
8062,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
8063,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
8064,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
8065,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
8066,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
8067,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
8068,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
8069,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
8070,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
8071,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
8072,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
8073,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
8074,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
8075,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
8076,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
8077,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
8078,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
8079,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
8080,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
8081,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
8082,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
8083,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
8084,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
8085,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
8086,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
8087,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
8088,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
8089,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
8090,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
8091,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
8092,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
8093,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
8094,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
8095,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
8096,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
8097,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
8098,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
8099,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
8100,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
8101,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
8102,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
8103,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
8104,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
8105,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
8106,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
8107,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
8108,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
8109,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
8110,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
8111,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
8112,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
8113,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
8114,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
8115,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
8116,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
8117,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
8118,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
8119,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
8120,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
8121,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
8122,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
8123,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
8124,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
8125,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
8126,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
8127,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
8128,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
8129,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
8130,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
8131,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
8132,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
8133,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
8134,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
8135,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
8136,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
8137,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
8138,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
8139,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
8140,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
8141,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
8142,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
8143,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
8144,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
8145,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
8146,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
8147,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
8148,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
8149,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
8150,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
8151,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
8152,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
8153,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
8154,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
8155,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
8156,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
8157,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
8158,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
8159,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
8160,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
8161,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
8162,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
8163,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
8164,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
8165,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
8166,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
8167,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
8168,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
8169,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
8170,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
8171,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
8172,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
8173,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
8174,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
8175,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
8176,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
8177,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
8178,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
8179,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
8180,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
8181,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
8182,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
8183,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
8184,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
8185,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
8186,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
8187,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
8188,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
8189,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
8190,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
8191,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
8192,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
8193,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
8194,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
8195,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
8196,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
8197,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
8198,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
8199,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
8200,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
8201,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
8202,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
8203,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
8204,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
8205,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
8206,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
8207,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
8208,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
8209,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
8210,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
8211,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
8212,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
8213,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
8214,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
8215,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
8216,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
8217,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
8218,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
8219,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
8220,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
8221,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
8222,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
8223,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
8224,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
8225,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
8226,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
8227,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
8228,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
8229,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
8230,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
8231,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
8232,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
8233,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
8234,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
8235,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
8236,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
8237,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
8238,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
8239,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
8240,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
8241,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
8242,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
8243,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
8244,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
8245,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
8246,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
8247,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
8248,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
8249,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
8250,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
8251,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
8252,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
8253,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
8254,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
8255,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
8256,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
8257,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
8258,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
8259,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
8260,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
8261,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
8262,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
8263,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
8264,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
8265,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
8266,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
8267,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
8268,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
8269,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
8270,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
8271,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
8272,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
8273,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
8274,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
8275,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
8276,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
8277,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
8278,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
8279,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
8280,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
8281,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
8282,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
8283,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
8284,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
8285,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
8286,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
8287,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
8288,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
8289,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
8290,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
8291,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
8292,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
8293,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
8294,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
8295,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
8296,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
8297,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
8298,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
8299,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
8300,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
8301,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
8302,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
8303,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
8304,15,300,2024-01-30,Sunshine Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
8305,8,500,2024-02-04,Community Hospital,Kaduna,Ultrasound,HealthEquip Ltd.,UK
8306,12,180,2024-02-09,Healing Hands Hospital,Enugu,X-Ray Machine,Radiant Suppliers,China
8307,25,220,2024-02-14,Hope Hospital,Kano,MRI Machine,MedTech Co.,USA
8308,30,320,2024-02-19,Unity Hospital,Lagos,CT Scanner,TechHealth Inc.,Canada
8309,10,550,2024-02-24,Metro Hospital,Abuja,Ultrasound,HealthEquip Ltd.,UK
8310,50,130,2024-02-29,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
8311,20,270,2024-03-05,City Medical Center,Lagos,MRI Machine,MedTech Co.,USA
8312,6,300,2024-03-10,General Hospital,Rivers,CT Scanner,TechHealth Inc.,Canada
8313,15,250,2024-03-15,Central Clinic,Ogun,Ultrasound,HealthEquip Ltd.,UK
8314,4,450,2024-03-20,Healing Touch Hospital,Enugu,MRI Machine,Radiant Suppliers,China
8315,25,180,2024-03-25,Sunshine Medical,Lagos,X-Ray Machine,MedTech Co.,USA
8316,18,600,2024-03-30,Hope Clinic,Kano,CT Scanner,HealthEquip Ltd.,UK
8317,14,150,2024-04-04,Metro Medical Center,Abuja,Ultrasound,TechHealth Inc.,Canada
8318,11,200,2024-04-09,State Medical Center,Oyo,MRI Machine,MedTech Co.,USA
8319,30,400,2024-04-14,General Clinic,Lagos,CT Scanner,HealthEquip Ltd.,UK
8320,10,150,2024-04-19,City Hospital,Rivers,Ultrasound,TechHealth Inc.,Canada
8321,12,350,2024-04-24,Hope Hospital,Abuja,MRI Machine,Radiant Suppliers,China
8322,10,450,2024-04-29,Healing Hands Hospital,Enugu,X-Ray Machine,HealthEquip Ltd.,UK
8323,5,600,2024-05-04,Central Hospital,Kaduna,Ultrasound,MedTech Co.,USA
8324,20,120,2024-05-09,State Hospital,Oyo,X-Ray Machine,Radiant Suppliers,China
8325,15,330,2024-05-14,City Medical Center,Lagos,MRI Machine,TechHealth Inc.,Canada
8326,10,450,2024-05-19,Central Hospital,Rivers,Ultrasound,HealthEquip Ltd.,UK
8327,7,200,2024-05-24,Metro Hospital,Abuja,X-Ray Machine,Radiant Suppliers,China
8328,25,280,2024-05-29,Hope Clinic,Kano,CT Scanner,TechHealth Inc.,Canada
8329,30,400,2024-06-03,Sunshine Hospital,Lagos,MRI Machine,MedTech Co.,USA
8330,15,170,2024-06-08,General Hospital,Enugu,Ultrasound,HealthEquip Ltd.,UK
8331,12,300,2024-06-13,State Medical Center,Oyo,CT Scanner,MedTech Co.,USA
8332,6,400,2024-06-18,Healing Hands Hospital,Rivers,MRI Machine,HealthEquip Ltd.,Canada
8333,8,250,2024-06-23,Metro Medical Center,Abuja,X-Ray Machine,TechHealth Inc.,UK
8334,14,150,2024-06-28,Central Clinic,Kaduna,Ultrasound,MedTech Co.,China
8335,25,220,2024-07-03,Community Hospital,Lagos,MRI Machine,MedTech Co.,USA
8336,18,600,2024-07-08,Sunshine Medical,Kano,CT Scanner,HealthEquip Ltd.,UK
8337,10,150,2024-07-13,Hope Hospital,Enugu,Ultrasound,Radiant Suppliers,China
8338,11,300,2024-07-18,City Medical Center,Oyo,X-Ray Machine,HealthEquip Ltd.,UK
8339,25,320,2024-07-23,State Hospital,Lagos,MRI Machine,Radiant Suppliers,China
8340,12,400,2024-07-28,General Hospital,Kaduna,CT Scanner,HealthEquip Ltd.,UK
8341,30,200,2024-08-02,Healing Touch Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
8342,15,150,2024-08-07,Metro Hospital,Abuja,Ultrasound,TechHealth Inc.,Canada
8343,20,350,2024-08-12,Central Hospital,Enugu,MRI Machine,MedTech Co.,USA
8344,5,450,2024-08-17,Sunshine Hospital,Lagos,CT Scanner,HealthEquip Ltd.,UK
8345,10,250,2024-08-22,Community Hospital,Abuja,Ultrasound,Radiant Suppliers,China
8346,14,150,2024-08-27,Hope Clinic,Kano,MRI Machine,TechHealth Inc.,Canada
8347,20,300,2024-09-01,Healing Hands Hospital,Lagos,Defibrillator,SoloSupplier Inc.,UK
8348,5,750,2024-09-06,City Hospital,Rivers,Ventilator,ExclusiveTech Ltd.,Germany
8349,10,400,2024-09-11,Metro Medical Center,Abuja,Surgical Table,HealthEquip Ltd.,UK
8350,12,200,2024-09-16,State Hospital,Oyo,MRI Machine,MedTech Co.,USA
8351,10,250,2024-01-15,General Hospital,Lagos,MRI Machine,MedTech Co.,USA
8352,5,200,2024-01-20,City Hospital,Abuja,MRI Machine,HealthEquip Ltd.,UK
8353,20,150,2024-01-25,Central Hospital,Rivers,X-Ray Machine,Radiant Suppliers,China
